"","X","pmid","title","publicationyear","MR","surname","given_name","author_code","gender","affil_main","affil_cat","author_position","last_position","first_position","max","RCR","cit","jif"
"562",562,22114687,"Antiretroviral treatment cohort analysis using time-updated CD4 counts: Assessment of bias with different analytic methods",2011,0,"middelkoop","keren",244321,"female","South Africa","Upper middle",6,0,0,8,0.1,3,2.776
"563",563,22114687,"Antiretroviral treatment cohort analysis using time-updated CD4 counts: Assessment of bias with different analytic methods",2011,0,"bekker","linda-gail",5035,"female","South Africa","Upper middle",7,0,0,8,0.1,3,2.776
"564",564,22114687,"Antiretroviral treatment cohort analysis using time-updated CD4 counts: Assessment of bias with different analytic methods",2011,0,"wood","robin",4532,"male","South Africa","Upper middle",8,1,0,8,0.1,3,2.776
"565",565,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"fenner","lukas",347,"male","Switzerland","High",1,0,1,20,1.25,35,4.959
"566",566,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"gagneux","sebastien",302317,"male","Switzerland","High",2,0,0,20,1.25,35,4.959
"567",567,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"helbling","peter",47352,"male","Switzerland","High",3,0,0,20,1.25,35,4.959
"568",568,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"battegay","manuel",258253,"male","Switzerland","High",4,0,0,20,1.25,35,4.959
"569",569,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"rieder","hans l.",22356,"male","Switzerland","High",5,0,0,20,1.25,35,4.959
"570",570,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"pfyffer","gaby e.",54355,"female","Switzerland","High",6,0,0,20,1.25,35,4.959
"571",571,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"zwahlen","marcel",324359,"male","Switzerland","High",7,0,0,20,1.25,35,4.959
"572",572,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"furrer","hansjakob",234222,"male","Switzerland","High",8,0,0,20,1.25,35,4.959
"573",573,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"siegrist","hans h.",22357,"male","Switzerland","High",9,0,0,20,1.25,35,4.959
"574",574,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"fehr","jan",314351,"male","Switzerland","High",10,0,0,20,1.25,35,4.959
"575",575,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"dolina","marisa",14350,"female","Switzerland","High",11,0,0,20,1.25,35,4.959
"576",576,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"calmy","alexandra",155349,"female","Switzerland","High",12,0,0,20,1.25,35,4.959
"577",577,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"stucki","david",29319,"male","Switzerland","High",13,0,0,20,1.25,35,4.959
"578",578,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"jaton","katia",322354,"female","Switzerland","High",14,0,0,20,1.25,35,4.959
"579",579,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"janssens","jean-paul",321353,"male","Switzerland","High",15,0,0,20,1.25,35,4.959
"580",580,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"stalder","jesica mazza",323358,"female","Switzerland","High",16,0,0,20,1.25,35,4.959
"581",581,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"bodmer","thomas",88315,"male","Switzerland","High",17,0,0,20,1.25,35,4.959
"582",582,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"ninet","beatrice",303318,"female","Switzerland","High",18,0,0,20,1.25,35,4.959
"583",583,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"bottger","erik c.",232348,"male","Switzerland","High",19,0,0,20,1.25,35,4.959
"584",584,22116153,"Mycobacterium tuberculosis transmission in a country with low tuberculosis incidence: Role of immigration and HIV infection",2012,9,"egger","matthias",138,"male","Switzerland","High",20,1,0,20,1.25,35,4.959
"585",585,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"schoni-affolter","franziska",316362,"female","Switzerland","High",1,0,1,13,1.85,44,2.776
"586",586,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"keiser","olivia",6750,"female","Switzerland","High",2,0,0,13,1.85,44,2.776
"587",587,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"mwango","albert",289300,"male","Zambia","Lower",3,0,0,13,1.85,44,2.776
"588",588,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"stringer","jeffrey",307363,"male","Zambia","Lower",4,0,0,13,1.85,44,2.776
"589",589,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"ledergerber","bruno",235223,"male","Switzerland","High",5,0,0,13,1.85,44,2.776
"590",590,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"mulenga","lloyd",326361,"male","Zambia","Lower",6,0,0,13,1.85,44,2.776
"591",591,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"bucher","heiner c.",325360,"male","Switzerland","High",7,0,0,13,1.85,44,2.776
"592",592,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"westfall","andrew o.",5314,"male","United States","High",8,0,0,13,1.85,44,2.776
"593",593,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"calmy","alexandra",155349,"female","Switzerland","High",9,0,0,13,1.85,44,2.776
"594",594,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"boulle","andrew",522,"male","South Africa","Upper middle",10,0,0,13,1.85,44,2.776
"595",595,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"chintu","namwinga",6244,"female","Zambia","Lower",11,0,0,13,1.85,44,2.776
"596",596,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"egger","matthias",138,"male","Switzerland","High",12,0,0,13,1.85,44,2.776
"597",597,22205933,"Estimating loss to follow-up in HIV-infected patients on antiretroviral therapy: The effect of the competing risk of death in Zambia and Switzerland",2011,1,"chi","benjamin h.",294305,"male","Zambia","Lower",13,1,0,13,1.85,44,2.776
"598",598,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"zhou","jialun",312330,"male","Australia","High",1,0,1,12,1.34,27,5.192
"599",599,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"jaquet","antoine",330367,"male","France","High",2,0,0,12,1.34,27,5.192
"600",600,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"bissagnene","emmanuel",328364,"male","Cote d'Ivoire","Lower",3,0,0,12,1.34,27,5.192
"601",601,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"musick","beverly",331370,"female","United States","High",4,0,0,12,1.34,27,5.192
"602",602,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"wools-kaloustian","kara",14311,"female","United States","High",5,0,0,12,1.34,27,5.192
"603",603,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"maxwell","nicola",19313,"female","South Africa","Upper middle",6,0,0,12,1.34,27,5.192
"604",604,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"boulle","andrew",522,"male","South Africa","Upper middle",7,0,0,12,1.34,27,5.192
"605",605,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"wehbe","firas",332371,"male","United States","High",8,0,0,12,1.34,27,5.192
"606",606,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"masys","daniel",10369,"male","United States","High",9,0,0,12,1.34,27,5.192
"607",607,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"iriondo-perez","jeniffer",203366,"female","United States","High",10,0,0,12,1.34,27,5.192
"608",608,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"hemingway-foday","jay",203365,"female","United States","High",11,0,0,12,1.34,27,5.192
"609",609,22289654,"Short-term risk of anaemia following initiation of combination antiretroviral treatment in HIV-infected patients in countries in sub-Saharan Africa, Asia-Pacific, and central and South America",2012,1,"law","matthew",34368,"male","Australia","High",12,1,0,12,1.34,27,5.192
"610",610,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"estill","janne",768,"female","Switzerland","High",1,0,1,12,1.13,28,4.499
"611",611,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"aubriere","cindy",287372,"female","Switzerland","High",2,0,0,12,1.13,28,4.499
"612",612,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"egger","matthias",138,"male","Switzerland","High",3,0,0,12,1.13,28,4.499
"613",613,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"johnson","leigh",333375,"male","South Africa","Upper middle",4,0,0,12,1.13,28,4.499
"614",614,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"wood","robin",4532,"male","South Africa","Upper middle",5,0,0,12,1.13,28,4.499
"615",615,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"garone","daniela",10373,"female","South Africa","Upper middle",6,0,0,12,1.13,28,4.499
"616",616,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"gsponer","thomas",8869,"male","Switzerland","High",7,0,0,12,1.13,28,4.499
"617",617,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"wandeler","gilles",237339,"male","Switzerland","High",8,0,0,12,1.13,28,4.499
"618",618,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"boulle","andrew",522,"male","South Africa","Upper middle",9,0,0,12,1.13,28,4.499
"619",619,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"davies","mary-ann",5236,"female","South Africa","Upper middle",10,0,0,12,1.13,28,4.499
"620",620,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"hallett","timothy b.",110374,"male","United Kingdom","High",11,0,0,12,1.13,28,4.499
"621",621,22421243,"Viral load monitoring of antiretroviral therapy, cohort viral load and HIV transmission in Southern Africa: A mathematical modelling analysis",2012,0,"keiser","olivia",6750,"female","Switzerland","High",12,1,0,12,1.13,28,4.499
"622",622,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"fox","matthew p.",3426,"male","United States","High",1,0,1,11,4.4,101,3.863
"623",623,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"cutsem","gilles van",237376,"male","South Africa","Upper middle",2,0,0,11,4.4,101,3.863
"624",624,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"giddy","janet",7272,"female","South Africa","Upper middle",3,0,0,11,4.4,101,3.863
"625",625,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"maskew","mhairi",300312,"female","South Africa","Upper middle",4,0,0,11,4.4,101,3.863
"626",626,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"keiser","olivia",6750,"female","Switzerland","High",5,0,0,11,4.4,101,3.863
"627",627,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"prozesky","hans",2213,"male","South Africa","Upper middle",6,0,0,11,4.4,101,3.863
"628",628,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"wood","robin",4532,"male","South Africa","Upper middle",7,0,0,11,4.4,101,3.863
"629",629,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"hernan","miguel a.",188377,"male","United States","High",8,0,0,11,4.4,101,3.863
"630",630,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"sterne","jonathan a. c.",275276,"male","United Kingdom","High",9,0,0,11,4.4,101,3.863
"631",631,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"egger","matthias",138,"male","Switzerland","High",10,0,0,11,4.4,101,3.863
"632",632,22433846,"Rates and predictors of failure of first-line antiretroviral therapy and switch to second-line ART in South Africa",2012,0,"boulle","andrew",522,"male","South Africa","Upper middle",11,1,0,11,4.4,101,3.863
"633",633,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"fenner","lukas",347,"male","Switzerland","High",1,0,1,18,2.68,69,4.715
"634",634,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"egger","matthias",138,"male","Switzerland","High",2,0,0,18,2.68,69,4.715
"635",635,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"bodmer","thomas",88315,"male","Switzerland","High",3,0,0,18,2.68,69,4.715
"636",636,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"altpeter","ekkehardt",334378,"male","Switzerland","High",4,0,0,18,2.68,69,4.715
"637",637,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"zwahlen","marcel",324359,"male","Switzerland","High",5,0,0,18,2.68,69,4.715
"638",638,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"jaton","katia",322354,"female","Switzerland","High",6,0,0,18,2.68,69,4.715
"639",639,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"pfyffer","gaby e.",54355,"female","Switzerland","High",7,0,0,18,2.68,69,4.715
"640",640,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"borrell","sonia",236224,"female","Switzerland","High",8,0,0,18,2.68,69,4.715
"641",641,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"dubuis","olivier",301316,"male","Switzerland","High",9,0,0,18,2.68,69,4.715
"642",642,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"bruderer","thomas",88379,"male","Switzerland","High",10,0,0,18,2.68,69,4.715
"643",643,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"siegrist","hans h.",22357,"male","Switzerland","High",11,0,0,18,2.68,69,4.715
"644",644,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"furrer","hansjakob",234222,"male","Switzerland","High",12,0,0,18,2.68,69,4.715
"645",645,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"calmy","alexandra",155349,"female","Switzerland","High",13,0,0,18,2.68,69,4.715
"646",646,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"fehr","jan",314351,"male","Switzerland","High",14,0,0,18,2.68,69,4.715
"647",647,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"stalder","jesica mazza",323358,"female","Switzerland","High",15,0,0,18,2.68,69,4.715
"648",648,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"ninet","beatrice",303318,"female","Switzerland","High",16,0,0,18,2.68,69,4.715
"649",649,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"bottger","erik c.",232348,"male","Switzerland","High",17,0,0,18,2.68,69,4.715
"650",650,22470121,"Effect of mutation and genetic background on drug resistance in Mycobacterium tuberculosis",2012,9,"gagneux","sebastien",302317,"male","Switzerland","High",18,1,0,18,2.68,69,4.715
"651",651,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"fenner","lukas",347,"male","Switzerland","High",1,0,1,12,0.43,11,2.776
"652",652,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"gagneux","sebastien",302317,"male","Switzerland","High",2,0,0,12,0.43,11,2.776
"653",653,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"janssens","jean-paul",321353,"male","Switzerland","High",3,0,0,12,0.43,11,2.776
"654",654,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"fehr","jan",314351,"male","Switzerland","High",4,0,0,12,0.43,11,2.776
"655",655,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"cavassini","matthias",13381,"male","Switzerland","High",5,0,0,12,0.43,11,2.776
"656",656,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"hoffmann","matthias",13382,"male","Switzerland","High",6,0,0,12,0.43,11,2.776
"657",657,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"bernasconi","enos",335380,"male","Switzerland","High",7,0,0,12,0.43,11,2.776
"658",658,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"schrenzel","jacques",337383,"male","Switzerland","High",8,0,0,12,0.43,11,2.776
"659",659,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"bodmer","thomas",88315,"male","Switzerland","High",9,0,0,12,0.43,11,2.776
"660",660,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"bottger","erik c.",232348,"male","Switzerland","High",10,0,0,12,0.43,11,2.776
"661",661,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"helbling","peter",47352,"male","Switzerland","High",11,0,0,12,0.43,11,2.776
"662",662,22479556,"Tuberculosis in HIV-negative and HIV-infected patients in a low-incidence country: Clinical characteristics and treatment outcomes",2012,9,"egger","matthias",138,"male","Switzerland","High",12,1,0,12,0.43,11,2.776
"663",663,22668950,"Remote sensing of HIV care programmes using centrally collected laboratory results: Can we monitor ART programme effectiveness?",2012,0,"morrow","carl",14304,"male","South Africa","Upper middle",1,0,1,5,0.08,2,1.316
"664",664,22668950,"Remote sensing of HIV care programmes using centrally collected laboratory results: Can we monitor ART programme effectiveness?",2012,0,"munro","alison",338384,"female","South Africa","Upper middle",2,0,0,5,0.08,2,1.316
"665",665,22668950,"Remote sensing of HIV care programmes using centrally collected laboratory results: Can we monitor ART programme effectiveness?",2012,0,"wilke","marisa",14386,"female","South Africa","Upper middle",3,0,0,5,0.08,2,1.316
"666",666,22668950,"Remote sensing of HIV care programmes using centrally collected laboratory results: Can we monitor ART programme effectiveness?",2012,0,"stark","ruth",339385,"female","South Africa","Upper middle",4,0,0,5,0.08,2,1.316
"667",667,22668950,"Remote sensing of HIV care programmes using centrally collected laboratory results: Can we monitor ART programme effectiveness?",2012,0,"wood","robin",4532,"male","South Africa","Upper middle",5,1,0,5,0.08,2,1.316
"668",668,22695302,"Reducing deaths from tuberculosis in antiretroviral treatment programmes in sub-Saharan Africa",2012,9,"lawn","stephen d.",5840,"male","South Africa","Upper middle",1,0,1,6,1.54,40,4.499
"669",669,22695302,"Reducing deaths from tuberculosis in antiretroviral treatment programmes in sub-Saharan Africa",2012,9,"harries","anthony d.",279284,"male","France","High",2,0,0,6,1.54,40,4.499
"670",670,22695302,"Reducing deaths from tuberculosis in antiretroviral treatment programmes in sub-Saharan Africa",2012,9,"meintjes","graeme",257252,"male","South Africa","Upper middle",3,0,0,6,1.54,40,4.499
"671",671,22695302,"Reducing deaths from tuberculosis in antiretroviral treatment programmes in sub-Saharan Africa",2012,9,"getahun","haileyesus",6345,"male","Switzerland","High",4,0,0,6,1.54,40,4.499
"672",672,22695302,"Reducing deaths from tuberculosis in antiretroviral treatment programmes in sub-Saharan Africa",2012,9,"havlir","diane v.",11387,"female","United States","High",5,0,0,6,1.54,40,4.499
"673",673,22695302,"Reducing deaths from tuberculosis in antiretroviral treatment programmes in sub-Saharan Africa",2012,9,"wood","robin",4532,"male","South Africa","Upper middle",6,1,0,6,1.54,40,4.499
"674",674,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"calmy","alexandra",155349,"female","Switzerland","High",1,0,1,19,0.11,3,2.565
"675",675,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"balestre","eric",232220,"male","France","High",2,0,0,19,0.11,3,2.565
"676",676,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"bonnet","fabrice",340388,"male","France","High",3,0,0,19,0.11,3,2.565
"677",677,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"boulle","andrew",522,"male","South Africa","Upper middle",4,0,0,19,0.11,3,2.565
"678",678,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"sprinz","eduardo",2618,"male","Brazil","Upper middle",5,0,0,19,0.11,3,2.565
"679",679,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"wood","robin",4532,"male","South Africa","Upper middle",6,0,0,19,0.11,3,2.565
"680",680,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"delaporte","eric",232389,"male","France","High",7,0,0,19,0.11,3,2.565
"681",681,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"messou","eugene",256250,"male","Cote d'Ivoire","Lower",8,0,0,19,0.11,3,2.565
"682",682,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"mcintyre","james",2012,"male","South Africa","Upper middle",9,0,0,19,0.11,3,2.565
"683",683,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"el filali","kamal m.",341390,"male","Morocco","Lower",10,0,0,19,0.11,3,2.565
"684",684,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"schechter","mauro",2415,"male","Brazil","Upper middle",11,0,0,19,0.11,3,2.565
"685",685,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"kumarasamy","n",1710,"male","India","Lower",12,0,0,19,0.11,3,2.565
"686",686,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"bangsberg","david",2921,"male","Uganda","Lower",13,0,0,19,0.11,3,2.565
"687",687,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"mcphail","patrick",170251,"male","South Africa","Upper middle",14,0,0,19,0.11,3,2.565
"688",688,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"van der borght","stefaan",221204,"male","Netherlands","High",15,0,0,19,0.11,3,2.565
"689",689,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"zala","carlos",14141,"male","Argentina","Upper middle",16,0,0,19,0.11,3,2.565
"690",690,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"egger","matthias",138,"male","Switzerland","High",17,0,0,19,0.11,3,2.565
"691",691,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"thiebaut","rodolphe",311329,"male","France","High",18,0,0,19,0.11,3,2.565
"692",692,22742573,"Mean CD4 cell count changes in patients failing a first-line antiretroviral therapy in resource-limited settings",2012,1,"dabis","francois",86,"male","France","High",19,1,0,19,0.11,3,2.565
"693",693,22743595,"Tenofovir in second-line ART in Zambia and South Africa: Collaborative analysis of cohort studies",2012,0,"wandeler","gilles",237339,"male","Switzerland","High",1,0,1,13,0.35,8,3.863
"694",694,22743595,"Tenofovir in second-line ART in Zambia and South Africa: Collaborative analysis of cohort studies",2012,0,"keiser","olivia",6750,"female","Switzerland","High",2,0,0,13,0.35,8,3.863
"695",695,22743595,"Tenofovir in second-line ART in Zambia and South Africa: Collaborative analysis of cohort studies",2012,0,"mulenga","lloyd",326361,"male","Zambia","Lower",3,0,0,13,0.35,8,3.863
"696",696,22743595,"Tenofovir in second-line ART in Zambia and South Africa: Collaborative analysis of cohort studies",2012,0,"hoffmann","christopher j.",16382,"male","South Africa","Upper middle",4,0,0,13,0.35,8,3.863
"697",697,22743595,"Tenofovir in second-line ART in Zambia and South Africa: Collaborative analysis of cohort studies",2012,0,"wood","robin",4532,"male","South Africa","Upper middle",5,0,0,13,0.35,8,3.863
